"URN","Text"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","deg mer frynsete og sårbar, sier Giæver. Filmen handler om Alta-saken, en politisk konflikt på 1970-tallet, der samiske og miljøverninteresser"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","har et emosjonelt engasjement rundt samiske folks rettigheter. Alta-saken ble en katalysator for, sier han. – Dette handlet om"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","rasisme, stigmatisering og ekstrem hard fornorskningspolitikk. Alta-saken var i utgangspunktet en kamp for å bevare Alta-elva,"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","denne som åpningsfilm. Det føles som en utrolig god match. Altasaken vakte nasjonale og internasjonal oppmerksomhet, og de konfliktene"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","familien i Alta, der faren satt i styret i Folkeaksjonen mot utbyggingen. – Jeg har alltid skjønt at dette var en"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","Finnmark DagblaD Fredag 18. november 2022 folkeliv handler om Alta-aksjonen og blir åpningsfilm på TIFF 2023. Hovedrolleinnehaver i om"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","Ella EMOSJONELT TEMA: Filmen «La elva leve» handler om Alta-aksjonen og blir åpningsfilm på TIFF 2023. Hovedrolleinnehaver engasjement"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221118_109_179_1","seg da aktivister fra «Folkeaksjonen mot utbygging av Alta/ Kautokeino-vassdraget» sommeren 1979 stoppet anleggsarbeidet av en 110 meter"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","deg mer frynsete og sårbar, sier Giæver. Filmen handler om Alta-saken, en politisk konflikt på 1970-tallet, der samiske og miljøverninteresser"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","har et emosjonelt engasjement rundt samiske folks rettigheter. Alta-saken ble en katalysator for, sier han. – Dette handlet om"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","rasisme, stigmatisering og ekstrem hard fornorskningspolitikk. Alta-saken var i utgangspunktet en kamp for å bevare Alta-elva,"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","denne som åpningsfilm. Det føles som en utrolig god match. Altasaken vakte nasjonale og internasjonal oppmerksomhet, og de konfliktene"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","familien i Alta, der faren satt i styret i Folkeaksjonen mot utbyggingen. – Jeg har alltid skjønt at dette var en"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","20 Finnmarken Fredag 18. november 2022 folkeliv handler om Alta-aksjonen og blir åpningsfilm på TIFF 2023. Hovedrolleinnehaver i om"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","Ella EMOSJONELT TEMA: Filmen «La elva leve» handler om Alta-aksjonen og blir åpningsfilm på TIFF 2023. Hovedrolleinnehaver engasjement"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221118_124_179_1","seg da aktivister fra «Folkeaksjonen mot utbygging av Alta/ Kautokeino-vassdraget» sommeren 1979 stoppet anleggsarbeidet av en 110 meter"
"URN:NBN:no-nb_digavis_nationen_null_null_20221001_0_228_1","sametingspresidenten. Hun trekker også linjene tilbake til Alta-saken rundt 1980, som handlet om utbygging av vannkraft i"
"URN:NBN:no-nb_digavis_nationen_null_null_20221001_0_228_1","er sjøsame fra Nesseby i Finnmark. – Tretti år etter Alta-saken burde vi hatt bedre mekanismer for å håndtere dette."
"URN:NBN:no-nb_digavis_nationen_null_null_20221001_0_228_1","det, det burde ikke sier sametingspresi- også linjene til- Alta-saken rundt 1980, utbygging av Alta-Kautokeino- forhindret aksjo- demon-"
"URN:NBN:no-nb_digavis_nationen_null_null_20221001_0_228_1","rundt 1980, som handlet om utbygging av vannkraft i Alta-Kautokeinovassdraget. Da forhindret aksjonister anlegget, det var demonstrasjoner"
"URN:NBN:no-nb_digavis_nationen_null_null_20221001_0_228_1","snurrer fortsat. Foto: Ole Martin Wold / NTB Stilla: Alta-Kautokeino-vassdraget januar 1979. Politiaksjonen ved nullpunktet i Stilla, og"
"URN:NBN:no-nb_digavis_sagat_null_null_20221114_66_220_1","ære å få for telle his to rien om hvor dan Alta­saken berørte enkelt men nes kers liv. Karak te ren min,"
"URN:NBN:no-nb_digavis_sagat_null_null_20221114_66_220_1","ker som deltok eller ble berørt av Alta­saken. – For samene hand let Alta­saken ikke bare om å bevare el va,"
"URN:NBN:no-nb_digavis_snasningen_null_null_20220615_8_24_1","Han referer eksempelvis til de som engasjerte seg i Alta-saken, Luru/Grana/Sandøla-vassdraget, skytefeltet på Fosen, og til Daniel"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20220112_109_6_1","atferd overfor to 13-årige jenter. Kim Gaare kig@fd.no ALTA: Saken havnet på politiets bord etter bekymringsmelding fra en"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221215_109_194_1","Dette skal ha skjedd om morgenen 17. august i Alta. Saken havnet i retten i november, og nå foreligger det"
"URN:NBN:no-nb_digavis_kronstadposten_null_null_20220401_13_13_1","2022 KRONSTADPOSTEN beholder må På tide med omskolering i Alta Saken om framtidig skolestruktur i Alta har lenge vaiet mellom"
"URN:NBN:no-nb_digavis_kronstadposten_null_null_20220401_13_13_1","Sombybrua Nullpunktet og «Sombybrua» var to viktige punkter under Altaaksjonen. Mange mener at stedene burde bli markert, men ingenting"
"URN:NBN:no-nb_digavis_arbeidetsrett_null_null_20221116_116_134_1","sitt engasjement for vann og vassdrag, og da spesielt fra Alta-saken. (NTB) Foto: hArAld reitAn T — Ær E ID T 7'.'"
"URN:NBN:no-nb_digavis_ruijankaiku_null_null_20220131_28_1_1","ikke rom for en nyansert forklaring. En følge av Alta-saken ble dermed at forskjellene mellom samer og kvener ble blåst"
"URN:NBN:no-nb_digavis_ruijankaiku_null_null_20220131_28_1_1","traumatiserte barn og foreldre deres. Altasaken og samisk revitalisering Stubberud beskrev Altasaken som det neste viktige skillet for"
"URN:NBN:no-nb_digavis_ruijankaiku_null_null_20220131_28_1_1","blant be- Ruijan Kaiku | 31.01.2022 folkningen i Børselv. Altasaken i overgangen fra 1970-til 1980-tallet og den påfølgende samiske"
"URN:NBN:no-nb_digavis_drammenstidende_null_null_20220801_0_175_1","av Helitrans og styrtet i fjellområdet Skoddevarre nær Alta. – Saken mot piloten er henlagt på grunn av mistenktes"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220729_0_173_1","å være et større torn i øyet for Arbeiderpartiet enn Alta-saken. Det er nemlig en ting utredningene om kraftverk på"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220729_0_173_1","Det er nemlig en ting utredningene om kraftverk på Alta-Kautokeino vassdraget aldri ble: felt i Høyesterett. er det egne og"
"URN:NBN:no-nb_digavis_kronstadposten_null_null_20220812_13_30_1","Begynnelsen på 1980-årene var de store politiske kampers ti-år. Alta-saken ruver som den største. Konfliktnivået var høyt, følelsene og"
"URN:NBN:no-nb_digavis_fremover_null_null_20220223_120_30_1","eller kanskje i det tiåret på 1970-80 tallet under Alta-saken, oppvåkningen og rettighetskampen? Nei se, det vet bare"
"URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20220411_148_85_1","også det som vi opplevde i 1980 – under Alta-saken for drøyt 40 år siden – og som motiverte til"
"URN:NBN:no-nb_digavis_sagat_null_null_20220113_66_9_1","funn et på 80­tall et et ter Kau to kei no­Alta saken. 70.000 til Siri Broch Jo han sen, for å skrive"
"URN:NBN:no-nb_digavis_gudbrandsdolendagnin_null_null_20221111_185_263_1","til iFinnmark. «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Masi i Kautokeino"
"URN:NBN:no-nb_digavis_gudbrandsdolendagnin_null_null_20221111_185_263_1","bygdene som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Kultur-og likestillingsminister"
"URN:NBN:no-nb_digavis_gudbrandsdolendagnin_null_null_20221111_185_263_1","som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Kultur-og likestillingsminister Anette"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221017_109_160_1","27.02.82: «En enstemmig Høyesterett avsa dommen om at Alta-saken er helt fri for feil. Regjeringens utbyggingsvedtak er"
"URN:NBN:no-nb_digavis_finnmarkdagblad_null_null_20221017_109_160_1","enstemmig Høyesterett som kom til at utbyggingsvedtaket om Alta-Kautokeinovassdraget var gyldig. Sitat fra høyesterettsdommen i 1982: «Ankesaken"
"URN:NBN:no-nb_digavis_altaposten_null_null_20220316_54_32_1","at ny runde må til. Det som er helt Må vurdere Alta-saken Jussprofessoren registrerer også at det i utredningen ikke nevnes"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","engasjement for vann og vassdrag, og da spesielt fra Alta-saken. Det var ikke omkostningsfritt å være en del av Folkeaksjonen"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","og vassdrag og ble svært sentral i kampen mot utbyggingen av Alta/ Kautokeinovassdraget. Han var generalsekretær i naturvernforbundet"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","og takket ja til å være informasjonsleder for Folkeaksjonen mot utbyggingen i 1981 og 1982. Sovnet stille inn Per Flatberg"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","Det var ikke omkostningsfritt å være en del av Folkeaksjonen mot utbyggingen. Han ble dømt for brudd på oppviglerparagrafen. Dro"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","Kautokeinovassdraget. Han var generalsekretær i naturvernforbundet da Altaaksjonen tiltok i styrke og takket ja til å være informasjonsleder"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","tett innpå miljøverneren i forbindelse med sin bok om Altaaksjonen. Per Flatberg hadde lovet seg selv å aldri sette sin"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","og ble svært sentral i kampen mot utbyggingen av Alta/ Kautokeinovassdraget. Han var generalsekretær i naturvernforbundet da Altaaksjonen"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","til idylliske Canyon. Naturelskeren kjempet mot utbygging av Alta/Kautokeino-vassdraget da det stormet som verst. journalist Hanne Larsen kom"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221114_54_133_1","idylliske Canyon. Naturel- skeren kjempet mot utbygging av Alta/Kautokeino-vassdraget da det stormet som verst. - n Flyttet kjøleelementer"
"URN:NBN:no-nb_digavis_nordlys_null_null_20221011_0_236_1","skriver 27.02.82: «En enstemmig Høyesterett avsa dommen om at Alta-saken er helt fri for feil. Regjeringens utbyggingsvedtak er gyldig.»"
"URN:NBN:no-nb_digavis_nordlys_null_null_20221011_0_236_1","med enkle geværer. 24 Nordlys Tirsdag 11. oktober 2022 AlTASAKEN: Demonstrasjoner i Masi i august 1970 mot foreslått neddemming"
"URN:NBN:no-nb_digavis_nordlys_null_null_20221011_0_236_1","en høyesterettsdom i 1982? FOTO: OlE MARTIN WOld, NTB AlTASAKEN: Demonstrasjoner i Masi i august 1970 mot foreslått neddemming"
"URN:NBN:no-nb_digavis_nordlys_null_null_20221011_0_236_1","enstemmig Høyesterett som kom til at utbyggingsvedtaket om Alta-Kautokeinovassdraget var gyldig. Sitat fra høyesterettsdommen i 1982: På"
"URN:NBN:no-nb_digavis_nordlys_null_null_20221011_0_236_1","foreslått neddemming av området i de første utbygingsplaner for Alta-Kautokeino-vassdraget. FOTO: NTB/VIdAR KNAI l En høyesterettsdom i 2021 er"
"URN:NBN:no-nb_digavis_nordlys_null_null_20221011_0_236_1","foreslått neddemming av området i de første utbygingsplaner for Alta-Kautokeino-vassdraget. FOTO: NTB/VIdAR KNAI KRENKET SAMENES RETTIGHETER: Hvorfor svarer"
"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","«Saamid Ædnan». «Sámiid ædnan» ble opprinne lig skrevet om Alta-saken for Hålogaland Teater. Masi der Hætta vokste opp var en"
"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","draget. Mattis Hætta deltok selv i demonstrasjonene mot Alta-utbyggingen. Det var Kjelsberg som inviterte Hætta til å joike"
"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","publikum til det samiske folkets kamp for naturressurser. – Alta-utbyggingen skapte oppmerksomhet rundt samefolkets sak. Og sangen vår"
"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","bygdene som var foreslått lagt under vann i utbyggingen av Alta/Kautokeino-vassdraget. Mattis Hætta deltok selv i demonstrasjonene mot"
"URN:NBN:no-nb_digavis_rogalandsavis_null_null_20221111_120_263_1","som var foreslått lagt under vann i utbyggingen av Alta/Kautokeino-vassdraget. Mattis Hætta deltok selv i demonstrasjonene mot Alta-utbyggingen."
"URN:NBN:no-nb_digavis_nyetroms_null_null_20221111_49_131_1","NOVEMBER 2022 «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Masi i"
"URN:NBN:no-nb_digavis_nyetroms_null_null_20221111_49_131_1","bygdene som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Mattis Hætta jobbet"
"URN:NBN:no-nb_digavis_nyetroms_null_null_20221111_49_131_1","Niillas Somby ble Norges mest ettersøkte terrorist etter Alta-aksjonen. 22.35 Katedralbyggerne (r) Norsk dokumentar fra 2019. 23.00"
"URN:NBN:no-nb_digavis_nyetroms_null_null_20221111_49_131_1","som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Mattis Hætta jobbet også"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221017_124_160_1","27.02.82: «En enstemmig Høyesterett avsa dommen om at Alta-saken er helt fri for feil. Regjeringens utbyggingsvedtak er"
"URN:NBN:no-nb_digavis_finnmarken_null_null_20221017_124_160_1","enstemmig Høyesterett som kom til at utbyggingsvedtaket om Alta-Kautokeinovassdraget var gyldig. Sitat fra høyesterettsdommen i 1982: «Ankesaken"
"URN:NBN:no-nb_digavis_vaartland_null_null_20220205_78_30_1","ønsket å bygge i det som utviklet seg til å bli Alta­saken? 7. Hva heter folket som hovedrollen i den Oscar­ nominerte"
"URN:NBN:no-nb_digavis_hamararbeiderblad_null_null_20220901_97_202_1","statsminister med knallharde smerter. Håndterte store saker; som Alta-saken, Kielland-ulykken, dobbeltvedtaket i NATO, pluss det politiske"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220423_0_93_1","p v ? X S KØ Lørdag 23. april 2022 Nordlys ALTA-SAKEN: «I ulvens time» er en viktig bok fordi den gir oss"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220423_0_93_1","en norsk verden og da med utgangspunkt i utbyggingen av Alta-Kautokeinovassdraget. Født som han er i 1948 i Sirbmá, har"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220423_0_93_1","stor plass i ettertidens minnemateriale rundt utbyggingen av Alta-Kautokeinovassdraget. Somby er blitt til «brusprengeren», og datidas"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220423_0_93_1","norsk verden og da med utgangspunkt i utbyggingen av Alta-Kautokeinovassdraget. Født som han er i 1948 i Sirbmá, har han"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220423_0_93_1","plass i ettertidens minnemateriale rundt utbyggingen av Alta-Kautokeinovassdraget. Somby er blitt til «brusprengeren», og datidas mediadekning"
"URN:NBN:no-nb_digavis_sagat_null_null_20221222_66_248_1","ved rør ende det kul tu rel le, hvor dan Alta­saken bi dro det en opp våk ning. Mari Boi ne kom"
"URN:NBN:no-nb_digavis_klassekampen_null_null_20220829_54_199_1","og samerettslige oppgjøret i samisk-norsk historie siden Alta-saken. Om knapt et år skal Jillen Njaarke ; ; overgrep"
"URN:NBN:no-nb_digavis_altaposten_null_null_20220520_54_58_1","gram hasjis og 6,25 gram amfetamin på adressen sin i Alta. Saken er berammet til Vestre Finnmark tingrett, rettssted Alta"
"URN:NBN:no-nb_digavis_altaposten_null_null_20220520_54_58_1","altaskiferen, en egen utstilling om Kåfjord kobberverk, Altasaken, sjøsamisk historie, jordbruk og fiske og Altas geologi. Med"
"URN:NBN:no-nb_digavis_bergenstidende_null_null_20221012_155_276_1","på rett side av loven igjen – med god margin. DA ALTA-SAKEN ble avgjort i statens favør i 1982, var både daværende"
"URN:NBN:no-nb_digavis_dagsavisen_null_null_20221111_137_263_1","«Saamid Ædnan». «Sámiid ædnan» ble opprinne lig skrevet om Alta-saken for Hålogaland Teater. Masi der Hætta vokste opp var en"
"URN:NBN:no-nb_digavis_dagsavisen_null_null_20221111_137_263_1","draget. Mattis Hætta deltok selv i demonstrasjonene mot Alta-utbyggingen. Det var Kjelsberg som inviterte Hætta til å joike"
"URN:NBN:no-nb_digavis_dagsavisen_null_null_20221111_137_263_1","publikum til det samiske folkets kamp for naturressurser. – Alta-utbyggingen skapte oppmerksomhet rundt samefolkets sak. Og sangen vår"
"URN:NBN:no-nb_digavis_dagsavisen_null_null_20221111_137_263_1","bygdene som var foreslått lagt under vann i utbyggingen av Alta/Kautokeino-vassdraget. Mattis Hætta deltok selv i demonstrasjonene mot"
"URN:NBN:no-nb_digavis_dagsavisen_null_null_20221111_137_263_1","som var foreslått lagt under vann i utbyggingen av Alta/Kautokeino-vassdraget. Mattis Hætta deltok selv i demonstrasjonene mot Alta-utbyggingen."
"URN:NBN:no-nb_digavis_altaposten_null_null_20221111_54_132_1","– Økte bevisstheten «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Maze, som"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221111_54_132_1","som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Kultur-og likestillingsminister"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221111_54_132_1","Niillas Somby ble Norges mest ettersøkte terrorist etter Alta-aksjonen. 22.35 Katedralbyggerne (r) Norsk dokumentar fra 2019. 23.00"
"URN:NBN:no-nb_digavis_altaposten_null_null_20221111_54_132_1","som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Kultur-og likestillingsminister Anette"
"URN:NBN:no-nb_digavis_sagat_null_null_20220125_66_17_1","og han ut tal te seg tem me lig krast om Alta­saken som var un der ut vik ling. Han la ikke fing"
"URN:NBN:no-nb_digavis_sortrondelag_null_null_20220226_115_24_1","ulydighet i miljøsaker i Norge. Et godt eksempel er Alta-saken på 80-tallet. Senest i 2016 hadde NU en lignende aksjon"
"URN:NBN:no-nb_digavis_vaartland_null_null_20221111_78_263_1","til iFinnmark. «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Masi i Kautokeino"
"URN:NBN:no-nb_digavis_vaartland_null_null_20221111_78_263_1","bygdene som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. jobbet sammen på"
"URN:NBN:no-nb_digavis_vaartland_null_null_20221111_78_263_1","som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. jobbet sammen på flere"
"URN:NBN:no-nb_digavis_adresseavisen_null_null_20221111_256_263_1","sambygding HansOleEiratil iFinnmark. «Sámiidædnan»ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Masi i Kautokeino"
"URN:NBN:no-nb_digavis_adresseavisen_null_null_20221111_256_263_1","bygdene som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Kultur-og"
"URN:NBN:no-nb_digavis_adresseavisen_null_null_20221111_256_263_1","var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Kultur-og likestillingsministerAnetteTrette"
"URN:NBN:no-nb_digavis_verdensgang_null_null_20221228_0_351_1","var en svært anerkjent høyesterettsadvokat, kjent fra blant annet Alta-saken og justismordet på Per Liland, og brennende engasjert i"
"URN:NBN:no-nb_digavis_agderposten_null_null_20221111_149_263_1","til iFinnmark. «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Masi i Kautokeino"
"URN:NBN:no-nb_digavis_agderposten_null_null_20221111_149_263_1","vei mot ett nybygg. FOTO: NESHEIM SKOLE byggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. Mattis Hætta jobbet også"
"URN:NBN:no-nb_digavis_aftenposten_null_null_20221130_163_281_1","på de 13 kvinnene som okkuperte Statsministerens kontor under Alta-saken i 1981, unge krigere som beskytter naturen, og fremtidige"
"URN:NBN:no-nb_digavis_dagsavisen_null_null_20220730_137_174_1","av Helitrans og styrtet i fjellområdet Skoddevarre nær Alta. – Saken mot piloten er henlagt på grunn av mistenktes"
"URN:NBN:no-nb_digavis_verdensgang_null_null_20221005_0_269_1","i Alta-saken (1968–1982) pågår for fullt. Samer, reineiere og miljøvernere kjemper"
"URN:NBN:no-nb_digavis_verdensgang_null_null_20221005_0_269_1","reineiere og miljøvernere kjemper mot utbygging av Alta–Kautokeino-vassdraget. Demonstrantene arrangerer også en ukelang sultestreik foran"
"URN:NBN:no-nb_digavis_dagensnaeringsliv_null_null_20220930_133_227_1","og áddjá, besteforeldrene på morssiden, var aktivister i Alta-saken, og lenket seg fast i kampen mot vannkraftutbygging"
"URN:NBN:no-nb_digavis_aftenposten_null_null_20220730_163_144_1","Helitrans og styrtet i fjellområdet Skoddevarre nær Alta. – Saken mot piloten er henlagt på grunn av mistenktes død,"
"URN:NBN:no-nb_digavis_klassekampen_null_null_20220611_54_132_1","av sakene. Det betød ikke at den alltid vant fram. Alta­saken er et markant eksempel. Men det var en realistisk"
"URN:NBN:no-nb_digavis_klassekampen_null_null_20220611_54_132_1","som da jeg i min ungsom ønsket å være med på Altaaksjonen. Men selv om man er for veik til fysiske motaksjoner,"
"URN:NBN:no-nb_digavis_fredriksstadblad_null_null_20221126_133_138_1","jeg til moren min at jeg bare ville snakke norsk. Alta-saken bidro imidlertid til å gjøre ham engasjert i sin samiske"
"URN:NBN:no-nb_digavis_fredriksstadblad_null_null_20221126_133_138_1","latet man i Norge som om samer ikke eksisterte. Etter Altasaken begynte isen å tine, og den kunnskapen som nå spres"
"URN:NBN:no-nb_digavis_ostlendingen_null_null_20221112_122_136_1","Eira til iFinnmark. «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Masi i Kautokeino"
"URN:NBN:no-nb_digavis_ostlendingen_null_null_20221112_122_136_1","bygdene som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget. Kultur-og likestillingsminister Anette Trettebergstuen (Ap)"
"URN:NBN:no-nb_digavis_ostlendingen_null_null_20221112_122_136_1","Niillas Somby ble Norges mest ettersøkte terrorist etter Alta-aksjonen. 22.40 Bergman 100 år (7) Sv. dokumentarserie fra 2018."
"URN:NBN:no-nb_digavis_ostlendingen_null_null_20221112_122_136_1","som var foreslått lagd under vann i utbyggingen av Alta/Kautokeino-vassdraget. Kultur-og likestillingsminister Anette Trettebergstuen (Ap) sier"
"URN:NBN:no-nb_digavis_aftenposten_null_null_20221111_163_265_1","sier Gaup. «Sámiid ædnan» ble opprinnelig skrevet om Alta-saken for Hålogaland Teater. Hætta vokste opp i Masi i Kautokeino"
"URN:NBN:no-nb_digavis_aftenposten_null_null_20221111_163_265_1","bygdene som var foreslått lagt under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. – Jeg glemmer"
"URN:NBN:no-nb_digavis_aftenposten_null_null_20221111_163_265_1","var foreslått lagt under vann i utbyggingen av Alta/Kautokeino-vassdraget, ifølge Store Norske Leksikon. – Jeg glemmer aldri da"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220210_0_34_1","Det er en svært stor endring. Og sultestreikaksjonene og Altasaken bidro selvfølgelig til denne revolusjonen.» Sitatet er hentet"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220210_0_34_1","og fremst ble kjent som bro-sprenger: Niilas Aslaksen Somby. Altasaken og sultestreiken var sjelsettende for svært mange unge og"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220210_0_34_1","Ellos Eatnu! – Nullpunkt er en rik fortelling om alt Altasaken og sultestreiken førte til. En minnebok og en dyp"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220210_0_34_1","for synlighet, for verdighet, og med striden rundt Alta-Kautokeinovassdraget i perioden 1979 til 1982 som akse. Dette er"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220211_0_35_1","Tomasjord DEBATT l Moderne samepolitikk, med utspring i Altasaken, er dårlig egnet for å løse dagens utfordringer i"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220211_0_35_1","1989 Den moderne norske samepolitikken, med sitt utspring i Altasaken, er byget på en sterk ideologisk bevegelse der strid og"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220211_0_35_1","Ealáhussearvi- Samisk Næringsforbund, Deatnu-Tana Samepolitikkens oppstandelse Altasaken var en politisk strid på 1970-og begynnelsen av 1980-tallet"
"URN:NBN:no-nb_digavis_nordlys_null_null_20220211_0_35_1","samenes rettigheter var avklart, ble også avvist av regjeringa. Altasaka ble slik brakt inn for retten, og i desember 1980"
