"dhlabid","urn","title","city","timestamp","year","conc","date","samesaken","Alta.samfunnet.er.i.mot.utbygging","protestbevegelse","at.et.møte.blir.arrangert","tv.program","produksjon.av.film","partipolitikk","kommunestyret","domstoler","regjeringen","myndigheter","demonstranter","politiet","saksbehandling.og.juridiske.prosesser","bygging.av.vei.og.anleggsvirksomhet","undersøkelser.og.utredning","arrestasjoner.og.bruk.av.tvangsmidler","økonomisk.og.næringsmessig.nytte","må.ha.kraft.og.strøm","konflikt.mellom.samer.og.nordmenn","rettigheter.til.land.og.ressurser","natur.og.miljø","vern.av.vassdrag","trussel.mot.samisk.kultur.og.næring","trussel.mot.laksefiske","Alta.kautokeinovassdraget.bør.bygges.ut","samiske.særrettigheter","utsatt.og.usikkerhet","unødvendig","splittelse.og.uenighet","vanskelig.å.snakke.om","urettferdig","opprivende","forsoning","samhold.og.enighet","handlekraft.og.beslutninger","tydelig.og.bestemtrettsak","leiren.i.Stilla","sultestreik","politiaksjonen","stortingets.vedtak","opprettelsen.av.Sametinget","Finnmarksloven","udemokratiske.protester","sivil.ulydighet","demonstrantene.opptrer.dårlig","ikke.voldelige","mediedekning","historisk.betydning","kunst.og.kultur","husker.eller.minnes","feilinformasjon","Konstruktiv.sivil.ulydighet","Manglende.utredning.om.konsekvenser","skeptisk.kraftprognose.motstand","meningsløs.kraftutbygging","Skeptisk.til.ulydighet","lov.og.orden","overdrevet.maktbruk.av.myndigheter.og.politi","fredelige.demonstranter","tydelig.og.bestemt","rettsak","arbeiderpartiet","gasskraftverk","neddemming.av.Masi","Kraftlinjer"
NA,"URN:NBN:no-nb_digavis_dagensnaeringsliv_null_null_20190621_122_139_1","dagensnaeringsliv","Oslo","20190621","2019","- Jeg håper ikke at Repparfjorden blir den nye Alta-aksjonen, for den tapte vi. Jeg håper derimot at vi vil oppleve",2019-06-21,0.19,0.64,0.67,0.57,0.31,0.53,0.36,0.23,0.24,0.13,0.35,0.62,0.13,0.53,0.4,0.44,0.79,0.29,0.33,0.43,0.8,0.71,0.49,0.63,0.25,0.28,0.44,0.7,0.51,0.54,0.6,0.54,0.72,0.15,0.11,0.22,0.17,0.47,0.21,0.16,0.26,0.21,0.21,0.34,0.6,0.39,0.28,0.39,0.54,0.12,0.72,0.62,0.21,0.6,0.45,0.49,0.57,0.11,0.51,0.06,0.17,0.49,0.19,0.13,0.16,0.16
NA,"URN:NBN:no-nb_digavis_sydvesten_null_null_20190404_1_14_1","sydvesten","Bergen","20190404","2019","- S lr (45:66) Norsk talkshow fra 2019. Opptakten til Alta-aksjonen på 1970-tallet handlet om bygda Masi som kunne bli lagt",2019-04-04,0.2,0.47,0.69,0.18,0.49,0.1,0.08,0.09,0.14,0.03,0.13,0.21,0.04,0.28,0.18,0.31,0.54,0.12,0.08,0.52,0.51,0.18,0.14,0.74,0.09,0.18,0.48,0.77,0.24,0.25,0.6,0.52,0.79,0.04,0.02,0.33,0.44,0.31,0.1,0.08,0.1,0.09,0.13,0.23,0.46,0.11,0.2,0.18,0.48,0.06,0.51,0.44,0.15,0.39,0.26,0.26,0.47,0.06,0.16,0.02,0.25,0.17,0.09,0.06,0.84,0.1
NA,"URN:NBN:no-nb_digavis_vestnesavisa_null_null_20190403_31_14_1","vestnesavisa","Vestnes","20190403","2019","– 1983 var han litt yrkesdemonstrant. Snuste litt på Altasaka, men fant sin kamp i lokalmiljøet. Han sperret av gågata",2019-04-03,0.38,0.63,0.91,0.63,0.27,0.22,0.62,0.26,0.23,0.11,0.3,0.93,0.32,0.65,0.45,0.59,0.9,0.44,0.19,0.57,0.46,0.38,0.69,0.55,0.34,0.44,0.62,0.72,0.46,0.83,0.63,0.76,0.86,0.07,0.03,0.65,0.35,0.45,0.39,0.27,0.18,0.26,0.47,0.48,0.72,0.46,0.12,0.25,0.53,0.21,0.82,0.65,0.52,0.59,0.53,0.56,0.51,0.33,0.56,0.04,0.58,0.38,0.49,0.1,0.32,0.14
NA,"URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20191015_145_239_1","faedrelandsvennen","Kristiansand","20191015","2019","– Alta-aksjonen; Ap-regjeringen lover å utsette utbyggingen av Alta-vassdraget. Samene som hadde sultestreiket utenfor Stortinget i protest",2019-10-15,0.95,0.98,0.98,0.35,0.12,0.13,0.86,0.1,0.14,0.81,0.82,0.97,0.04,0.68,0.21,0.29,0.87,0.23,0.42,0.91,0.78,0.55,0.25,0.86,0.08,0.66,0.77,0.83,0.59,0.87,0.54,0.75,0.92,0.02,0.02,0.37,0.43,0.58,0.97,0.05,0.54,0.04,0.08,0.84,0.8,0.62,0.2,0.16,0.61,0.08,0.65,0.64,0.43,0.47,0.63,0.75,0.57,0.22,0.64,0.03,0.18,0.34,0.92,0.03,0.1,0.11
NA,"URN:NBN:no-nb_digavis_stavangeraftenblad_null_null_20190817_127_0_1","stavangeraftenblad","Stavanger","20190817","2019","– Da jeg begynte i Statkraft i 1978, var Alta-utbyggingen i fokus, og vi som jobbet med vannkraft ble beskyldt",2019-08-17,0.15,0.28,0.46,0.53,0.34,0.13,0.42,0.1,0.13,0.07,0.47,0.3,0.05,0.64,0.17,0.59,0.71,0.73,0.75,0.53,0.87,0.52,0.14,0.73,0.05,0.6,0.55,0.59,0.4,0.6,0.48,0.57,0.79,0.03,0.01,0.42,0.23,0.46,0.16,0.04,0.17,0.11,0.09,0.22,0.39,0.3,0.34,0.74,0.45,0.15,0.84,0.69,0.18,0.5,0.3,0.42,0.3,0.11,0.48,0.02,0.23,0.59,0.16,0.04,0.15,0.19
NA,"URN:NBN:no-nb_digavis_glaamdalen_null_null_20190706_135_153_1","glaamdalen","Kongsvinger","20190706","2019","– Hva er bakgrunnen for ditt valg av parti? – Alta-saken gjorde et dypt inntrykk på meg og var den direkte",2019-07-06,0.25,0.73,0.67,0.49,0.16,0.1,0.79,0.24,0.21,0.17,0.59,0.69,0.08,0.63,0.35,0.53,0.62,0.23,0.49,0.69,0.57,0.31,0.63,0.74,0.52,0.65,0.7,0.75,0.43,0.72,0.55,0.72,0.92,0.16,0.12,0.77,0.63,0.76,0.15,0.19,0.34,0.28,0.37,0.39,0.49,0.33,0.21,0.27,0.7,0.03,0.67,0.44,0.19,0.54,0.34,0.52,0.41,0.15,0.62,0.02,0.52,0.58,0.51,0.03,0.32,0.1
NA,"URN:NBN:no-nb_digavis_avisanordland_null_null_20191115_0_266_1","avisanordland","Bodø","20191115","2019","– Ja, engasjement har jeg alltid hatt, helt fra Alta-saken og fram til i dag. Vi er jo på vei mot",2019-11-15,0.37,0.72,0.78,0.7,0.42,0.5,0.25,0.25,0.37,0.1,0.43,0.64,0.2,0.65,0.56,0.69,0.82,0.62,0.17,0.52,0.56,0.29,0.49,0.63,0.26,0.58,0.53,0.74,0.31,0.3,0.44,0.54,0.72,0.55,0.05,0.64,0.41,0.76,0.12,0.12,0.16,0.22,0.3,0.07,0.41,0.2,0.38,0.35,0.79,0.19,0.82,0.49,0.28,0.41,0.22,0.31,0.22,0.16,0.45,0.02,0.44,0.55,0.41,0.08,0.35,0.1
NA,"URN:NBN:no-nb_digavis_kronstadposten_null_null_20191011_10_39_1","kronstadposten","Alta","20191011","2019","– Jeg kom til Alta i 1982. Det var under Altautbyggingen, og politiskipet «Janina» lå i Bukta blant annet. Jeg",2019-10-11,0.63,0.57,0.75,0.72,0.52,0.54,0.74,0.55,0.43,0.52,0.75,0.74,0.57,0.73,0.72,0.77,0.87,0.66,0.65,0.7,0.74,0.45,0.45,0.79,0.56,0.5,0.67,0.82,0.63,0.83,0.63,0.76,0.83,0.19,0.22,0.76,0.55,0.6,0.42,0.67,0.39,0.45,0.36,0.49,0.6,0.5,0.25,0.6,0.68,0.26,0.9,0.65,0.37,0.66,0.45,0.53,0.54,0.47,0.67,0.01,0.57,0.56,0.64,0.31,0.33,0.55
NA,"URN:NBN:no-nb_digavis_altaposten_null_null_20190301_51_26_1","altaposten","Alta","20190301","2019","– NVE har en stor del av ansvaret for at at Alta-utbyggingen ble gjennomført, og Alta-saken er ikke noe de kan",2019-03-01,0.15,0.2,0.19,0.15,0.18,0.19,0.18,0.05,0.17,0.05,0.58,0.2,0.03,0.31,0.16,0.17,0.31,0.17,0.22,0.41,0.65,0.14,0.07,0.36,0.05,0.24,0.36,0.25,0.27,0.25,0.52,0.39,0.51,0.04,0.03,0.19,0.18,0.16,0.07,0.06,0.14,0.08,0.12,0.09,0.1,0.09,0.13,0.14,0.24,0.13,0.32,0.4,0.07,0.34,0.07,0.31,0.2,0.08,0.16,0.02,0.11,0.24,0.06,0.08,0.05,0.08
NA,"URN:NBN:no-nb_digavis_vesteraalen_null_null_20191015_99_196_1","vesteraalen","Sortland","20191015","2019","— Har vi lært noe? Vi burde ha lært noe av Alta-saka. Vi burde ha lært at det faktisk kan være våre",2019-10-15,0.17,0.64,0.7,0.51,0.26,0.25,0.36,0.19,0.4,0.1,0.62,0.66,0.18,0.77,0.54,0.67,0.75,0.6,0.61,0.78,0.79,0.4,0.67,0.85,0.57,0.62,0.7,0.8,0.56,0.73,0.76,0.7,0.83,0.35,0.19,0.72,0.28,0.82,0.17,0.24,0.25,0.12,0.48,0.4,0.64,0.43,0.25,0.35,0.67,0.15,0.68,0.64,0.32,0.68,0.4,0.56,0.67,0.2,0.7,0.05,0.17,0.63,0.24,0.07,0.52,0.17
