"URN","Text"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","FD-journalist Svein Jørstad fikk kritikk for sin rolle under Alta-saken Side 20-24 Side 2-3 0 n I en ny Helse Nord-rapport"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","Pangstart på journalistyrket I årene 1979 til 1982, da Alta-saken var på sitt mest betente, figurerte Nordli-Mathisens byline"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","mer action, enn 24-åringen hadde kunnet forestille seg. – Alta-saken er uten tvil fortsatt det mest dramatiske jeg har opplevd"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","19 REPORTASJE livbåt 20 menighetsbladet Lokalmedias rolle under Altasaken var preget av polarisering og rolleblanding. Av Hanne Larsen"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","løp demonstrantenes ærend og tydelig hadde – Mediadekningen av Alta-konflikten ble sterkt preget av aksjonene, og det var ikke like"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","Juni samme år avviser Stortinget et forslag om å ta Alta-utbyggingen opp til ny behandling. Iseptember 1979 stopper folkeaksjonens"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","Gro nokså vagt om nødvendigheten av kraftutbyggingen i Alta: «Utbyggingen ble gjennomført i de påfølgende år, og striden om"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","noe usnakket med noen. Selv de gamle motstanderne av Alta-utbygginga, har han hatt mange fine samtaler med opp gjennom sin"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","VINDEN: Gro Harlem Brundtland var med på banke gjennom Alta-utbygginga. Her fra et besøk i Finnmark under Altastriden. (Foto:"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","på Snåsa, for å vise sin motstand mot utbygginga av Alta-Kautokeino-vassdraget. Men det som skjedde var at flyet ble"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","opplysninger Altaposten har fått, er SPENNENDE FOR UNGE SPIRER: Alta-aksjonen var en honningkrukke for journalister. Her er fra den"
"URN:NBN:no-nb_digavis_altaposten_null_null_20190322_51_35_1","bak seg. Starten var imidlertid i Altaposten, midt under Alta-aksjonen. (Foto: privat) ging er stor i Oslo. At det er juli"
